name,artist,popularity,genre,duration_ms,release_date,year,release_year,duration_min
Pour Me A Drink (Feat. Blake Shelton),Post Malone,49,pop,195122,2024-08-16,2024.0,2024,3.2520333333333333
Last Friday Night (T.G.I.F.),Katy Perry,76,pop,230733,2010-01-01,2010.0,2010,3.84555
Hide My Gun (Feat. HARDY),Post Malone,48,pop,220479,2024-08-16,2024.0,2024,3.67465
Devil I've Been (Feat. ERNEST),Post Malone,45,pop,182924,2024-08-15,2024.0,2024,3.0487333333333333
Have The Heart (Feat. Dolly Parton),Post Malone,48,pop,183333,2024-08-15,2024.0,2024,3.05555
Right About You,Post Malone,47,pop,183046,2024-08-16,2024.0,2024,3.0507666666666666
Wrong Ones (Feat. Tim McGraw),Post Malone,45,pop,195822,2024-08-16,2024.0,2024,3.2637
My Own Worst Enemy,Lit,76,pop,169026,1999-02-22,1999.0,1999,2.8171
Fallin’ In Love,Post Malone,45,pop,171185,2024-08-16,2024.0,2024,2.853083333333333
What Don't Belong To Me,Post Malone,44,pop,207176,2024-08-16,2024.0,2024,3.452933333333333
Finer Things (Feat. Hank Williams Jr.),Post Malone,45,pop,185533,2024-08-16,2024.0,2024,3.092216666666667
Dead At The Honky Tonk,Post Malone,44,pop,213225,2024-08-16,2024.0,2024,3.55375
Losers (Feat. Jelly Roll),Post Malone,44,pop,209038,2024-08-16,2024.0,2024,3.483966666666667
Nosedive (Feat. Lainey Wilson),Post Malone,44,pop,192459,2024-08-16,2024.0,2024,3.20765
Hey Mercedes,Post Malone,44,pop,202638,2024-08-16,2024.0,2024,3.3773
